title,duration,duration_numeric
Out of my league,92 min,92.0
Pahuna,82 min,82.0
The Secret Diary of an Exchange Student,97 min,97.0
Untold: Deal With the Devil,78 min,78.0
Walk of Shame,94 min,94.0
The Piano,121 min,121.0
Unroyal,97 min,97.0
Beckett,110 min,110.0
Lokillo: Nothing's the Same,64 min,64.0
Monster Hunter: Legends of the Guild,59 min,59.0
Brother Jekwu,101 min,101.0
La diosa del asfalto,127 min,127.0
Misha and the Wolves,90 min,90.0
The Kissing Booth 3,114 min,114.0
The Railway Man,108 min,108.0
Untold: Malice at the Palace,70 min,70.0
Quartet,98 min,98.0
Slay,86 min,86.0
Takizawa Kabuki ZERO 2020 The Movie,139 min,139.0
The Paper Tigers,111 min,111.0
Quam's Money,115 min,115.0
The Swarm,102 min,102.0
Vivo,100 min,100.0
Chennai Express,135 min,135.0
City of God: 10 Years Later,69 min,69.0
Esperando la carroza,95 min,95.0
Lady Boss: The Jackie Collins Story,97 min,97.0
Tango Feroz,124 min,124.0
'76,118 min,118.0
Aftermath,115 min,115.0
American Masters: Inventing David Geffen,115 min,115.0
Heavy,104 min,104.0
Ije: The Journey,106 min,106.0
Pray Away,102 min,102.0
Shiny_Flakes: The Teenage Drug Lord,97 min,97.0
Beethoven,87 min,87.0
Beethoven's 2nd,88 min,88.0
Beowulf,114 min,114.0
Boyka: Undisputed,90 min,90.0
Catch Me If You Can,142 min,142.0
Cloudy with a Chance of Meatballs,90 min,90.0
Deep Blue Sea,105 min,105.0
Ferris Bueller's Day Off,103 min,103.0
Five Feet Apart,116 min,116.0
Freedomland,113 min,113.0
Good Luck Chuck,99 min,99.0
I missed you: Director's Cut,96 min,96.0
Inception,148 min,148.0
Magnolia,189 min,189.0
Major Payne,97 min,97.0
My Girl,102 min,102.0
My Girl 2,99 min,99.0
Open Season: Scared Silly,85 min,85.0
Pineapple Express,112 min,112.0
Planet 51,91 min,91.0
Poms,91 min,91.0
Seabiscuit,141 min,141.0
Space Cowboys,130 min,130.0
Team America: World Police,98 min,98.0
The Edge of Seventeen,105 min,105.0
The Haunting in Connecticut 2: Ghosts of Georgia,101 min,101.0
The Last Boy Scout,105 min,105.0
The Lincoln Lawyer,118 min,118.0
The Losers,97 min,97.0
The Machinist,102 min,102.0
The Net,114 min,114.0
The Original Kings of Comedy,111 min,111.0
Valentine's Day,125 min,125.0
The Lost Café,76 min,76.0
The Vault,118 min,118.0
Eyes of a Thief,103 min,103.0
I'm Glad I Did,114 min,114.0
Pomegranates and Myrrh,95 min,95.0
Rurouni Kenshin: The Beginning,138 min,138.0
The Last Mercenary,112 min,112.0
Flower Girl,94 min,94.0
Resort to Love,102 min,102.0
Bartkowiak,92 min,92.0
Fantastic Fungi,81 min,81.0
Department,143 min,143.0
Hostage House,86 min,86.0
Mimi,132 min,132.0
The Operative,117 min,117.0
Django Unchained,165 min,165.0
A Second Chance:  Rivals!,91 min,91.0
African America,97 min,97.0
Bankrolled,97 min,97.0
Blood Red Sky,123 min,123.0
Kingdom: Ashin of the North,94 min,94.0
The Last Letter From Your Lover,111 min,111.0
9to5: The Story of a Movement,85 min,85.0
Chhota Bheem - Dinosaur World,65 min,65.0
Chhota Bheem - Neeli Pahaadi,64 min,64.0
Chhota Bheem & Ganesh,68 min,68.0
Chhota Bheem & Krishna: Mayanagari,67 min,67.0
Chhota Bheem & Krishna: Pataliputra- City of the Dead,66 min,66.0
Chhota Bheem And The Broken Amulet,64 min,64.0
Chhota Bheem And The Crown of Valhalla,64 min,64.0
Chhota Bheem and the Incan Adventure,65 min,65.0
Chhota Bheem and The ShiNobi Secret,64 min,64.0
Chhota Bheem Aur Hanuman,68 min,68.0
Chhota Bheem aur Krishna,68 min,68.0
Chhota Bheem aur Krishna vs Zimbara,64 min,64.0
Chhota Bheem in African Safari,62 min,62.0
Chhota Bheem Ka Roosi Romanch,63 min,63.0
Chhota Bheem: Bheem vs Aliens,69 min,69.0
Chhota Bheem: Dholakpur to Kathmandu,70 min,70.0
Chhota Bheem: Dus Pe Dus,63 min,63.0
Chhota Bheem: Journey to Petra,68 min,68.0
Chhota Bheem: Master of Shaolin,74 min,74.0
Chhota Bheem: The Rise of Kirmada,68 min,68.0
Cousins,99 min,99.0
Wannabe Courageous,90 min,90.0
Words Bubble Up Like Soda Pop,87 min,87.0
Sanitation Day,105 min,105.0
Trollhunters: Rise of the Titans,106 min,106.0
Milkwater,102 min,102.0
The Tambour of Retribution,91 min,91.0
Cosmic Sin,88 min,88.0
2 Weeks in Lagos,107 min,107.0
Deep,101 min,101.0
Fear Street Part 3: 1666,114 min,114.0
La ley de Herodes,123 min,123.0
The Beguiled,94 min,94.0
The Book of Henry,105 min,105.0
The Twilight Saga: Breaking Dawn: Part 1,117 min,117.0
The Twilight Saga: Breaking Dawn: Part 2,115 min,115.0
The Twilight Saga: Eclipse,124 min,124.0
The Twilight Saga: New Moon,131 min,131.0
Twilight,122 min,122.0
A Perfect Fit,113 min,113.0
Cheech & Chong's Still Smokin,91 min,91.0
Emicida: AmarElo - Live in São Paulo,100 min,100.0
Lift Like a Girl,93 min,93.0
My Amanda,90 min,90.0
Surf's Up,86 min,86.0
The Unknown Saint,100 min,100.0
This Changes Everything,96 min,96.0
A Classic Horror Story,95 min,95.0
Gunpowder Milkshake,115 min,115.0
Private Network: Who Killed Manuel Buendía?,100 min,100.0
The Guide to the Perfect Family,102 min,102.0
American Woman,87 min,87.0
Bridgerton - The Afterparty,39 min,39.0
Day of Destiny,110 min,110.0
Born to Play,93 min,93.0
American Ultra,96 min,96.0
The Stand-Up,93 min,93.0
The Tour,93 min,93.0
Fear Street Part 2: 1978,111 min,111.0
Finding Hubby,105 min,105.0
How I Became a Superhero,101 min,101.0
Last Summer,102 min,102.0
Lee Su-geun: The Sense Coach,46 min,46.0
Lethal Love,89 min,89.0
Ratchet and Clank,94 min,94.0
Back to Q82,104 min,104.0
Home Again,97 min,97.0
Midnight Sun,91 min,91.0
Rock the Kasbah,106 min,106.0
Awon Boyz,38 min,38.0
Brick Mansions,90 min,90.0
Clash,87 min,87.0
Major Grom: Plague Doctor,138 min,138.0
Mama Drama,105 min,105.0
Tango With Me,104 min,104.0
Therapy,85 min,85.0
This Little Love Of Mine,92 min,92.0
Three Thieves,108 min,108.0
A Land Imagined,95 min,95.0
Har Kisse Ke Hisse: Kaamyaab,105 min,105.0
Rehmataan,116 min,116.0
Return of the Prodigal Son,124 min,124.0
Rise: Ini Kalilah,101 min,101.0
Si Doel the Movie 2,95 min,95.0
Truckbhar Swapna,128 min,128.0
Ujala,143 min,143.0
Fear Street Part 1: 1994,107 min,107.0
Haseen Dillruba,136 min,136.0
Holiday on Mars,94 min,94.0
RattleSnake - The Ahanna Story,136 min,136.0
Snowpiercer,126 min,126.0
The 8th Night,116 min,116.0
Winchester,100 min,100.0
6 Bullets,115 min,115.0
Air Force One,125 min,125.0
Audible,39 min,39.0
Austin Powers in Goldmember,94 min,94.0
Austin Powers: International Man of Mystery,90 min,90.0
Austin Powers: The Spy Who Shagged Me,95 min,95.0
Boogie Nights,155 min,155.0
Charlie's Angels,98 min,98.0
Congo,108 min,108.0
Dennis the Menace,96 min,96.0
Dreamy Eyes,117 min,117.0
Dynasty Warriors,118 min,118.0
Hampstead,103 min,103.0
Kung Fu Panda,94 min,94.0
Kung Fu Panda 2,93 min,93.0
Life as We Know It,115 min,115.0
Mary Magdalene,120 min,120.0
Memoirs of a Geisha,145 min,145.0
Midnight Run,126 min,126.0
Mobile Suit Gundam Hathaway,96 min,96.0
Mortal Kombat,101 min,101.0
Mother's Day,118 min,118.0
No Strings Attached,109 min,109.0
Not Another Teen Movie,89 min,89.0
Ophelia,106 min,106.0
Pet Sematary 2,101 min,101.0
